#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;15;0;45;4.0;-3.15070288219;-0.175612564015
0.05;15;0;90;0.0;-2.7107181056;-0.138102708212
0.05;15;0;90;0.5;-2.68631655645;-0.117522281639
0.05;15;0;90;1.0;-2.74078316037;-0.125103614237
0.05;15;0;90;1.5;-2.83669972724;-0.144398475991
0.05;15;0;90;2.0;-2.94418433885;-0.163321914988
0.05;15;0;90;3.0;-2.97086017329;-0.147378457753
0.05;15;0;90;4.0;-3.09687095769;-0.167253996442
0.05;15;0;125;0.0;-2.71811024245;-0.133530804149
0.05;15;0;125;0.5;-2.69931184463;-0.122262593008
0.05;15;0;125;1.0;-2.77518754689;-0.137365260381
0.05;15;0;125;1.5;-2.85490472644;-0.146954332678
0.05;15;0;125;2.0;-2.95083380294;-0.170417145426
0.05;15;0;125;3.0;-2.97274078958;-0.153770726351
0.05;15;0;125;4.0;-3.15676361839;-0.17815455002
0.05;15;0;180;0.0;-2.71278799395;-0.135831971057
0.05;15;0;180;0.5;-2.72188580162;-0.131720188833
0.05;15;0;180;1.0;-2.76183891839;-0.131873580414
0.05;15;0;180;1.5;-2.84888236753;-0.147589054527
0.05;15;0;180;2.0;-2.93657914199;-0.164897786818
0.05;15;0;180;3.0;-2.9652840533;-0.152669433755
0.05;15;0;180;4.0;-3.12975337302;-0.172738793491
0.05;15;5;0;0.0;-2.70703619366;-0.13620850561
0.05;15;5;0;0.5;-2.70283441952;-0.122995014027
0.05;15;5;0;1.0;-2.75679071376;-0.128392878266
0.05;15;5;0;1.5;-2.84513861031;-0.147584714192
0.05;15;5;0;2.0;-2.92728370337;-0.160816293735
0.05;15;5;0;3.0;-2.98623929985;-0.158625180838
0.05;15;5;0;4.0;-3.13382077142;-0.175764713969
0.05;15;5;45;0.0;-2.71581671542;-0.137305549874
0.05;15;5;45;0.5;-2.72972456622;-0.133226686846
0.05;15;5;45;1.0;-2.74515528937;-0.128613037653
0.05;15;5;45;1.5;-2.84777417093;-0.143754711958
0.05;15;5;45;2.0;-2.9558911584;-0.171186668888
0.05;15;5;45;3.0;-2.95621865948;-0.150518029487
0.05;15;5;45;4.0;-3.10028239537;-0.164784948288
0.05;15;5;90;0.0;-2.72382329479;-0.135442373927
0.05;15;5;90;0.5;-2.68776620271;-0.121116286078
0.05;15;5;90;1.0;-2.74776716357;-0.129028837984
0.05;15;5;90;1.5;-2.86616532012;-0.151767114986
0.05;15;5;90;2.0;-2.92997473671;-0.161131878224
0.05;15;5;90;3.0;-2.95622737204;-0.146625025021
0.05;15;5;90;4.0;-3.12512829503;-0.1733165574
0.05;15;5;125;0.0;-2.68655997067;-0.131772531508
0.05;15;5;125;0.5;-2.71401086709;-0.125626311612
0.05;15;5;125;1.0;-2.73263536909;-0.13133912385
0.05;15;5;125;1.5;-2.86416662175;-0.154189039303
0.05;15;5;125;2.0;-2.9457425014;-0.162615745188
0.05;15;5;125;3.0;-2.9459992416;-0.148206904209
0.05;15;5;125;4.0;-3.13088400809;-0.1748637974
0.05;15;5;180;0.0;-2.66647696902;-0.121934362992
0.05;15;5;180;0.5;-2.68953618744;-0.123534307929
0.05;15;5;180;1.0;-2.71547266426;-0.12159763059
0.05;15;5;180;1.5;-2.8927343296;-0.158662302932
0.05;15;5;180;2.0;-2.91981724187;-0.162972958882
